Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49
0.522313348,-0.7052445412,-0.5736232146,0.2663727567,-0.6927746833,-0.4114173058,-0.4943846011,-0.336950569,1.1072227344,-0.1251725372,1.5678545014,0.6768361169,0.9301426983,-0.059401354,0.4787551538,1.4347092401,-1.9489732147,1.3491071897,-0.5684076451,-2.1744353098,0.6424767492,0.2359873497,-1.0142531956,1.219788947,-0.3340013722,-0.3651580685,0.5719887352,0.3389340471,0.8515815248,-0.6337187817,-0.6064160995,-0.2126944994,-0.0271450603,0.7960914662,0.8408151278,-0.2570157557,0.1273770695,-1.6030500123,-0.1286582287,-0.7544635652,1.2610779424,-2.6516958577,0.8102576412,-1.1946626557,1.4655443113,0.8235525228,-0.5769007698,-1.4432394857,-0.4066587391,-0.3192915033
0.6954029376,0.795199446,-0.4858599097,-0.5377720328,-0.1406462497,-0.3917504708,-0.2022357815,0.5182568489,0.2355014751,-0.97827373,0.7838924788,0.8758298736,0.1918903896,1.0648951445,0.4786464367,-0.1987355261,0.827809832,0.7852377817,-0.1388344322,0.304288087,-0.2184550716,-0.265464942,-1.6675404643,-1.146075324,-0.6384919535,0.7501237879,0.1157620725,-0.9358557501,0.5753878392,-0.7170457202,-0.3000063484,1.5107096568,-2.1093500677,1.5345933476,-1.090927372,0.9237519646,-0.5335323963,0.1552253339,1.9270243213,0.2874964301,-0.6966390366,0.9571368511,-0.4705659725,-1.2811698013,-0.4546901361,0.0298602045,-0.646214503,-1.7899789319,0.1317891712,0.3176147487
-0.9684928728,-1.4904851246,-0.7526063917,0.8484721134,0.4765886299,-1.5874584224,-0.0783093257,-0.3792556355,-0.0355863586,-0.0172494162,0.045683973,-0.9318448922,0.8181812407,0.3455151324,1.5312263348,-0.5921413098,-1.1686500469,0.5368850724,0.9376982856,-0.2713176389,1.8785252653,1.9370807929,-0.6008074173,-1.0811405608,0.7997549062,0.0223950382,0.49420075,0.9100065506,-1.3107691094,0.3709348588,1.6897102769,0.4303117547,1.0845329722,-0.9472156031,-0.1680295111,0.8809811817,-1.4187226005,1.0377549313,-1.2093012951,0.5097622645,0.5505031043,-0.1524313368,0.4125647327,0.8338209866,0.0527096068,0.7558882128,0.4153691725,-0.0459781546,0.2820954415,2.4001785017
1.940122348,-0.4420552866,-0.9421393423,0.9419386685,-0.4854199191,-0.1165352513,-0.2764786493,-0.9577476707,0.3550095417,-0.7730863346,0.2247418003,-0.2492470008,-0.2200846076,-1.2701856545,0.1033673438,-0.9852219612,2.2554067618,1.4329578347,1.1296971146,0.0709974199,1.1549103008,3.0599362689,1.1660176971,-0.5471850038,-0.4463490366,1.0489952645,1.1840490791,-1.3345835842,0.3186248425,-0.3612093627,-1.2650200889,-0.4334175516,-1.2570891196,-0.4489105901,0.2193039569,0.7799469573,0.4968173377,-1.0374683584,-0.9012955939,-0.1707104837,0.1396601606,1.8295562541,1.3807967528,0.5564574721,1.4725186606,2.2531620103,-0.4048838076,2.5743619164,0.3192474743,0.075808071
-1.6843835522,-1.3797797888,1.7174440426,1.1614351843,-0.5826456807,0.4862916147,-0.8301228468,0.0621016776,0.5927709726,0.6694970846,-0.4731493005,-0.7487092058,-1.1126201752,0.6787355167,-1.0201035833,1.2049308263,2.496592256,0.7554711751,0.1117455933,-0.7854125309,0.0175850212,0.3051259654,0.1702213082,0.9549819435,1.1595623818,-0.6134653151,1.0248955781,-1.0634633746,0.0308677015,0.7656468934,-0.6554526534,-2.9180014798,1.031087363,0.3761769282,-0.9899474104,0.0122344792,1.0837126052,-1.2766713701,-0.7220957376,-1.0123257329,1.1724651777,-0.2434371475,1.2657115203,0.2718118393,-0.4584153662,-0.6997331602,0.2267206071,-0.2551125193,-0.0674804577,0.2920950988
0.7360077667,0.5415407563,0.7395259661,0.9169404199,-0.723825846,0.1147065821,0.397062611,-0.5034912125,0.4457923637,-0.1204322561,-0.9505164172,-0.0880614639,-0.6701619302,0.5495762759,-0.4006583927,0.1452401195,-0.0333518761,0.3961543404,-2.5456720931,-0.7241125189,-0.1262986005,-0.3438745477,1.1232096874,1.4372140975,0.8763721468,-0.5723796702,0.068445751,-0.1100064849,-2.0989293619,1.05999925,0.001887529,0.6093328227,-1.1542302105,-0.8585780392,-1.2237470549,-0.6261569148,0.0274739708,-1.8867770543,0.8326449253,-0.7196910503,-1.0904665362,0.05641593,-0.4629274514,-0.1596243544,0.0971059997,0.4448819049,0.5313803575,-0.1261879704,1.6170109383,0.3886094101
0.3655269062,1.9474980147,-1.1092988178,0.8629323011,-0.1504964357,-0.3009044906,0.8239857407,-0.6151347084,-0.637887068,-0.069540958,0.2704949918,-1.5416743338,0.3966738757,-0.6571595435,0.1350971916,-0.19830001,-1.1059007278,-0.924826324,-0.887964246,0.3749706938,-0.6009254711,-0.9175483498,-1.256099719,1.4866275931,-0.0226774641,-0.4005556861,0.7285068844,-0.8555881539,1.3502898184,0.1991702133,0.7273737132,0.6608464647,-1.1458629314,-1.3323743094,-0.5780344044,-1.2312087216,1.038834906,0.4935112968,-1.6209181662,-0.9453495227,-1.1750100307,-0.4352697472,0.1219317366,0.2155865443,1.7433368966,-0.8370905295,-1.1480072949,-0.3060848899,-0.0512237896,0.0102909319
0.6812036251,-1.0067302101,0.9143745208,-0.0296202667,-1.553864368,-0.6888505562,-0.9838767777,0.8131248385,0.555821168,0.2525654684,0.6826003739,-0.8284786595,1.276272276,0.7947855273,2.6529300565,-1.4829750637,0.2285010589,1.0716997146,0.0817011356,0.5099632191,-0.6791425879,0.9595742638,-0.478281978,-0.7046872794,-2.6371430457,0.3068224641,-1.5727735655,-2.3921023,0.4969469332,1.1471535016,-0.5772245647,0.0047847859,-0.1176532813,-0.0820899503,-1.9297519557,-0.2460690731,0.9538278148,1.2120822313,0.8308693705,-0.3072906839,0.2747990115,-0.8519344177,0.774347361,-2.1868563518,-0.6556044267,-0.2711644959,0.0598855132,0.8164142317,1.0232654005,0.032019518
0.5791179525,0.1361931235,-0.9162754455,0.7656403448,-0.4764467058,1.4503353244,-1.1142730003,0.0051730374,0.9490162905,-0.1614331063,-1.2382915826,-0.4005761581,-0.2944963422,-0.2278475813,-1.0948727116,-1.0920768852,0.3099317967,0.5664566649,0.9239678314,-1.581140224,0.4600059625,0.5344441451,-0.8620471993,-0.6941249374,-1.3552980307,-1.1340802242,2.2103552771,0.2022779182,0.1204396582,1.1557789208,1.6748578912,-1.5222492166,-1.2835656285,-1.701808217,-1.0038770666,0.617441846,0.3512479431,-0.9211699024,1.0896135158,-0.6105400195,-2.1297547196,0.0190630012,-0.652608048,-0.8640742943,0.6538936094,0.4385067633,0.4107501086,-0.5971726652,-1.6281292992,0.444124141
0.6788192915,0.983264045,1.0883149361,2.5990081729,-3.3214883987,-0.026789123,-0.4628822266,-1.3354306677,-0.6982177841,-0.1704741173,-0.590731306,1.3599700699,-0.2939049995,2.9040789395,-0.0642011429,0.922833888,1.1777173626,0.7916882549,0.0924488227,-0.8494110278,-0.222077694,-0.3487626593,0.2169127044,1.0288339381,1.116357534,0.7731379503,1.5034318372,-0.6333442237,0.0840678159,-0.6153261014,-1.0899861917,0.0919560244,-1.394114328,0.2151881636,-0.1832113879,-0.2277524537,1.6550066852,-0.2708013246,2.2731921583,-0.4758498786,0.7060834926,0.816267198,-0.3304324628,0.4988512092,0.1910558844,-0.4133414039,0.5111357375,0.2989459799,1.5082524678,1.6610888953
